,image,name,author,isbn,category
21351,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4403/9781440322488.jpg,Art of Manliness Collection,Brett McKay,9781440322488,Reference
3128,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099556091.jpg,Why Be Happy When You Could Be Normal?,Jeanette Winterson,9780099556091,Biography
17027,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401927493.jpg,The Enchanted Map Oracle Cards,Colette Baron-Reid,9781401927493,Mind-Body-Spirit
25393,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330509985.jpg,Das Reich,Sir Max Hastings,9780330509985,Society-Social-Sciences
12252,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607060000.jpg,The Walking Dead: Book 4,Robert Kirkman,9781607060000,Graphic-Novels-Anime-Manga
11148,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473680500.jpg,Food: WTF Should I Eat?,Mark Hyman,9781473680500,Food-Drink
14116,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9885/9781988547091.jpg,The Note Through the Wire,Doug Gold,9781988547091,History-Archaeology
3294,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753819234.jpg,The Intimate Adventures Of A London Call Girl,Belle de Jour,9780753819234,Biography
15224,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8610/9781861059321.jpg,How to Be Lovely,Melissa Hellstern,9781861059321,Home-Garden
9814,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5823/9780582362406.jpg,Kennedy's Revised Latin Primer Paper,Benjamin Hall Kennedy,9780582362406,Dictionaries-Languages
15938,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099474128.jpg,Women Who Love Too Much,Robin Norwood,9780099474128,Humour
